"","text","favorited","favoriteCount","created","truncated","id","retweetCount","isRetweet","retweeted","RETWEETHOT"
"1","Next Big Wave of Online Shopping @pamedy.com",FALSE,0,2021-09-30 02:36:36,FALSE,"1443404381475463170",0,FALSE,FALSE,"none"
"2","#argentina Get your Car Flag Air Freshener Online at https://t.co/H9FoVFoM7z &amp; https://t.co/8zODEXCtwT and Enjoy yo… https://t.co/1K1B7uy7T8",FALSE,0,2021-09-30 02:36:17,TRUE,"1443404304019251201",0,FALSE,FALSE,"none"
"3","RT @therealcliffyb: Proof that launching an online game is hard AF when even Amazon can't get it right and THEY OWN THE SERVERS. #PlayNewWo…",FALSE,0,2021-09-30 02:35:56,FALSE,"1443404214521192448",14,TRUE,FALSE,"little"
"4","RT @WalkerBragman: So Amazon is now:

- a video game studio
- a movie studio
- an online retailer
- an electronics manufacturer
- a cloud h…",FALSE,0,2021-09-30 02:35:49,FALSE,"1443404186167623686",283,TRUE,FALSE,"some"
"5","Dentsu Malaysia is partnering with Nuffnang Live to strengthen live commerce capabilities and bring to life the bes… https://t.co/KKt5TocLVf",FALSE,0,2021-09-30 02:35:40,TRUE,"1443404148603592704",0,FALSE,FALSE,"none"
"6","RT @Shivani711: Online shopping drunk is really risky business",FALSE,0,2021-09-30 02:35:27,FALSE,"1443404093574172672",1,TRUE,FALSE,"little"
"7","#mexico Get your Car Flag Air Freshener Online at https://t.co/H9FoVFoM7z &amp; https://t.co/8zODEXCtwT and Enjoy your… https://t.co/MVsCSxRJNy",FALSE,0,2021-09-30 02:35:20,TRUE,"1443404064881004552",0,FALSE,FALSE,"none"
"8","RT @CBCIndigenous: Online vendors with no connection to Indigenous causes have popped up on sites like Facebook, Amazon and Etsy, in many c…",FALSE,0,2021-09-30 02:34:56,FALSE,"1443403962858754052",390,TRUE,FALSE,"some"
"9","RT @WalkerBragman: So Amazon is now:

- a video game studio
- a movie studio
- an online retailer
- an electronics manufacturer
- a cloud h…",FALSE,0,2021-09-30 02:34:39,FALSE,"1443403893409411074",283,TRUE,FALSE,"some"
"10","#Colombia Get your Car Flag Air Freshener Online at https://t.co/H9FoVFoM7z &amp; https://t.co/8zODEXCtwT and Enjoy you… https://t.co/KhEk7XcgPm",FALSE,0,2021-09-30 02:34:36,TRUE,"1443403878448369670",0,FALSE,FALSE,"none"
"11","RT @WalkerBragman: So Amazon is now:

- a video game studio
- a movie studio
- an online retailer
- an electronics manufacturer
- a cloud h…",FALSE,0,2021-09-30 02:34:03,FALSE,"1443403742343168001",283,TRUE,FALSE,"some"
"12","#PuertoRico Get your Car Flag Air Freshener Online at https://t.co/H9FoVFoM7z &amp; https://t.co/8zODEXCtwT and Enjoy y… https://t.co/vIcH9n36GY",FALSE,0,2021-09-30 02:33:58,TRUE,"1443403721128517641",0,FALSE,FALSE,"none"
"13","RT @GabrielConstans: Watch our multicultural #romcom THE LAST CONCEPTION. Now online in the UK, US &amp; Canada @ #Amazon &amp; other sites. #lesbi…",FALSE,0,2021-09-30 02:33:51,FALSE,"1443403688148561920",98,TRUE,FALSE,"little"
