"","publishedat","author","title"
"1","2021-09-10T08:00:21Z","Tage Kene-Okafor","Nigerian one-click checkout platform OurPass raises $1M pre-seed, wants to build ¡®Fast for Africa¡¯"
"2","2021-08-24T11:30:00Z","Entrepreneur Staff","The Future of Online Shopping Is 'Buy Now, Pay Later'"
"3","2021-08-23T10:23:00Z","Reuters","JD.com beats second-quarter sales estimates on online strength - Reuters"
"4","2021-08-24T11:39:00Z","Reuters","China's Pinduoduo swings to quarterly profit on online shopping boost - Reuters"
"5","2021-09-07T21:04:31Z","Subhasree Kar","eBay vs. Walmart: Which Stock is a Better Investment?"
"6","2021-08-26T13:03:58Z","Kirsten Korosec","Porsche expands online marketplace to include US inventory of new cars"
"7","2021-09-01T15:00:59Z","Mary Ann Azevedo","Insurify, a ¡®virtual insurance agent,¡¯ raises $100M Series B"
"8","2021-08-19T12:29:54Z","Saqib Shah","Amazon is reportedly planning to open mini department stores"
"9","2021-09-03T14:42:00Z","insider@insider.com (Michael Tattersall)","Insurify scores $100 million as online insurance shopping takes center stage"
"10","2021-09-05T15:36:48Z","Jasper Jolly","More than 8,700 chain stores have closed in 2021, analysis shows"
"11","2021-08-17T12:30:32Z","Zoe Wood","Ocado sales slip as shoppers return to pre-Covid habits"
"12","2021-08-19T16:20:00Z","Andrew Liszewski","The Corpse of Toys R Us Will Rise Once Again"
"13","2021-08-15T16:40:41Z","Annie Siebert","My big jump: Sukhinder Singh Cassidy¡¯s CEO journey"
"14","2021-09-09T16:33:26Z","Jon Fingas","Amazon will pay full college tuition for some warehouse workers"
"15","2021-08-31T15:00:00Z","Matt MadrigalVice President, GM, Merchants","How retailers can stand out this holiday season"
"16","2021-08-17T09:00:01Z","Gaby Hinsliff","Whatever Next? How a middle-of-the-road high-street chain became a retail powerhouse"
"17","2021-08-27T21:25:00Z","Shoshana Wodinsky","CVS Can't Keep Up With Demand For At-Home Covid-19 Tests"
"18","2021-08-30T13:00:41Z","Christine Hall","Flip bags $28M to turn beauty, wellness social commerce on its head"
"19","2021-08-17T07:09:00Z","Reuters","Online grocery appeal dips as Britons return to stores -Kantar - Reuters"
"20","2021-08-24T10:19:59Z","Paul R. La Monica, CNN Business","Kroger's stock is at a record high"
