"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:50:16,FALSE,NA,"1441943168878972933",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","leahaller551",315,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:50:02,FALSE,NA,"1441943112843104264",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BflyyJazz",20623,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:49:55,FALSE,NA,"1441943083092959232",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jeon_uwuw_JK",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:49:23,FALSE,NA,"1441942947877068800",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ShazamEsquerda",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:48:56,FALSE,NA,"1441942836857827328",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sutherland58",315,TRUE,FALSE,NA,NA
"@EerieGentleman \"Mind you there are quite a bit of online outlets sites in which you can do your shopping, but you… https://t.co/PpKiQfMTs2",FALSE,0,"EerieGentleman",2021-09-26 01:48:45,TRUE,"1441933063424987136","1441942789302861828","1429090138332835850","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","VAMPIRICALLURE",0,FALSE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:48:18,FALSE,NA,"1441942675087708160",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Risyalah_N",315,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:48:15,FALSE,NA,"1441942662769086468",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JWestAustralia",315,TRUE,FALSE,NA,NA
"RT @hecraveskay: I wanna go online shopping with someone else’s card",FALSE,0,NA,2021-09-26 01:47:59,FALSE,NA,"1441942593768722436",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","x_ShesJasmin",20623,TRUE,FALSE,NA,NA
"RT @LeoDiCaprio: Thanks to a powerful collaboration btwn @rewild, @Coldplay &amp; @GlblCtzn, governors from 3 Brazilian Amazonia states are com…",FALSE,0,NA,2021-09-26 01:47:44,FALSE,NA,"1441942532355723267",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","tela57",315,TRUE,FALSE,NA,NA
